experiment,hour,date,device_make,platform_os,response
1,18,2,13,6,0
1,11,5,22,6,0
0,18,1,13,6,1
0,22,0,13,6,1
0,15,0,13,6,0
0,14,0,13,6,1
0,15,7,80,6,1
0,15,6,72,6,0
1,2,1,13,6,1
1,6,3,13,6,0
1,14,3,31,5,0
1,9,1,68,6,0
1,3,6,13,6,0
0,1,0,13,6,1
1,21,3,13,6,0
0,3,6,13,6,0
1,7,0,13,6,1
0,15,2,13,6,0
1,16,5,57,6,0
0,10,0,13,6,0
0,5,7,101,6,0
1,15,0,13,6,1
1,1,3,73,5,0
0,18,3,87,6,0
1,9,2,66,6,1
1,20,2,13,6,0
1,5,0,13,6,0
0,15,0,13,6,1
0,7,5,13,6,0
1,8,0,13,6,0
1,18,1,13,6,1
0,11,4,47,6,0
1,9,0,13,6,1
1,3,4,13,6,0
1,15,6,35,6,0
1,13,6,89,6,1
1,14,3,105,6,1
0,19,6,33,6,0
1,15,1,13,6,0
1,5,0,13,6,1
0,20,0,13,6,1
0,11,0,13,6,0
0,10,0,81,6,0
0,15,0,13,6,0
1,15,5,13,6,1
0,15,5,13,6,1
0,8,0,51,6,0
1,22,7,13,6,1
1,7,0,13,6,0
0,16,2,72,6,1
1,7,5,13,6,1
0,8,1,64,6,1
1,8,7,68,6,0
1,15,0,13,6,0
0,15,0,13,6,1
0,14,5,96,6,1
1,7,0,13,6,1
0,15,4,114,6,1
0,17,0,13,6,1
1,18,6,13,6,1
0,15,4,13,6,1
0,22,4,13,6,0
1,15,5,13,6,0
1,21,7,13,6,0
1,11,7,44,6,0
1,21,2,13,6,1
0,6,1,64,6,1
1,1,7,13,6,0
0,3,6,33,6,0
1,4,0,13,6,0
0,3,7,51,6,0
0,6,2,13,6,0
0,4,0,13,6,0
0,15,2,2,6,0
0,15,1,13,6,1
1,0,5,69,6,1
1,15,6,13,6,0
0,15,6,13,6,0
0,14,7,13,6,1
1,15,0,13,6,1
